Ano Início,Ano Fim,Evento,Personagem,Região,Local,Detalhes,Referência bíblica
c. 4004 a.C.,c. 3074 a.C.,Criação e Vida de Adão,Adão,Terra,Éden,,
c. 3874 a.C.,c. 2962 a.C.,Vida de Sete,Sete,Terra,,,
c. 3769 a.C.,c. 2864 a.C.,Vida de Enos,Enos,Terra,,,
c. 3679 a.C.,c. 2769 a.C.,Vida de Cainã,Cainã,Terra,,,
c. 3609 a.C.,c. 2714 a.C.,Vida de Maalalel,Maalalel,Terra,,,
c. 3544 a.C.,c. 2582 a.C.,Vida de Jarede,Jarede,Terra,,,
c. 3382 a.C.,c. 3017 a.C.,Vida de Enoque (Transladado),Enoque,Terra,,,
c. 3317 a.C.,c. 2348 a.C.,Vida de Matusalém,Matusalém,Terra,,,
c. 3130 a.C.,c. 2353 a.C.,Vida de Lameque,Lameque,Terra,,,
c. 2948 a.C.,c. 1998 a.C.,Vida de Noé e o Dilúvio,Noé,Terra,,,
c. 2247 a.C.,c. 2247 a.C.,Torre de Babel e Dispersão,Ninrode,Mesopotâmia,Sinar,,
c. 2100 a.C.,c. 1925 a.C.,Chamado de Abraão e jornadas,Abraão,Caldeia,Ur,,
c. 2090 a.C.,c. 2090 a.C.,Aliança das Metades (Brit Bein HaBetarim),Abraão,Canaã,,,
c. 2085 a.C.,c. 2085 a.C.,Batalha do Vale de Sidim e o resgate de Ló por Abrão,Abrão / Melquisedeque / Codorlaomer,Canaã,Vale de Sidim,,
c. 2080 a.C.,c. 2064 a.C.,Conflito com Hagar e nascimento/expulsão de Ismael,Sara / Hagar / Ismael,Canaã,Deserto de Beer-Seba,,
c. 2029 a.C.,c. 2029 a.C.,Compra da Caverna de Macpela (primeira aquisição legal de terra),"Abraão / Efrom, o heteu",Canaã,Hebrom,,
c. 2066 a.C.,c. 2066 a.C.,Circuncisão e Nascimento de Isaque (Brit Milá),Abraão / Isaque,Canaã,,,
c. 2050 a.C.,c. 2050 a.C.,O Sacrifício/Amarração de Isaque (Akedá),Abraão / Isaque,Canaã,Monte Moriá,,
